f6e013f5-ed7d-4691-897f-04da0b2037d1	a4ba20f1-94c1-4da5-974f-72f3389af6f0	01cae6dd-3b93-4abd-9f17-5fbc6a82863e	1d949e2f-8bdb-48b7-bcf5-171c37d9ad66	91cf56c5-dc13-4142-bed9-b9c342aec504	529f3a3a-5ef3-495d-93af-4aa316b2cbf4	4c090804-bb5e-4935-a9bc-85daf08dab41	ea26a9a5-7f76-4e80-ac47-2d2dee95a8e7	f0f57afb-d1d2-4de1-b05b-8306ca7ef9a5	3fa1e12a-e500-4478-8714-1581df255bb4	1e626f8b-ce4e-4a6a-ae29-82e7ec86b8b8	54e030ee-294e-4eea-a177-0d3cbc65efd5	bfede8e1-e9fd-434f-9f74-7b1cd424edd7	3dfecd3b-2532-4ca8-ac85-63465dd3e03e	d2b9638a-8c15-4d1d-b5cd-3efeeeed0f2f	631e73ff-42b9-47ca-b2a0-8dcc7558af6c	6813c146-ca62-4ff7-9add-01d23ccbeff0	6d7cb714-e814-458b-82b4-f83edfe4e901	25419c44-26ba-4084-9e13-3303fca5bb1a	ba26be3f-c2d9-4103-96e6-eacc0ff75afd	265da01f-bce1-4735-8184-43f42ba5f34b	985f49c5-a0d2-428d-98f4-b458b0c2c0da	ae015e92-34c1-45a4-818e-c5bc6d1100c9	074be6f7-95e8-4874-a959-f6ea3c4f9a57	e66fe6d2-f209-46d6-bee7-ac23ba1dda5f	76c63789-765d-4413-a79f-a1762baa2627	1a5cec06-30f2-4b70-9da0-ddfe28efcaea	4509ee29-d50a-493e-94bf-ac283f46c0dc
13328.7341752954	8110.8484725807	13391.6333713754	8425.1816133877	10935.5510245146	8793.1175429791	13015.1815771998	7995.4328806613	9677.0497539751	9536.9927019917	9129.7539970593	12583.4269491896	14867.5619215536	9603.7944431705	18139.7040949535	14531.1052907863	12338.2741952993	9871.2370772184	10988.3569706397	13162.7583024435	6144.8216431913	7800.952847362	7559.0247426448	9300.0726065452	8924.1117238357	9863.0437907714	5797.2260813802	10952.8087850116
13125.287753307	7246.5781312397	13397.4941733429	7701.29217103	9351.1486029589	7273.9780670926	12737.7381594973	7659.4265126293	9749.2012169973	8683.2007749052	7498.1038532497	11842.5027879201	13888.1073839818	8852.1642475215	16862.0208422373	13959.1134550568	11161.3397281505	9076.0388046638	10613.9129921201	12184.4023149917	5460.7742450485	8515.0526912774	7516.5855549802	8659.0326123576	7200.3297633863	9044.1246982922	4037.5085436226	10246.1905482508
12978.9687772629	7312.5616833407	13605.120633625	7872.9710089472	9866.1010779195	7377.9122729363	11655.9545460037	7797.4969376201	8810.6283912914	8955.9622971908	8526.2468201231	12499.2427628258	15294.8672809064	9451.9479155672	18833.2215784504	14859.6752882977	12679.7440075873	10117.8046686428	11180.4389330036	13457.9139451766	5003.0455531223	7417.3830132333	6155.5658375776	8602.0652935026	7683.6175202449	9011.6139609386	5067.802930045	11001.1535888133
12583.2790143395	7410.8575909738	13048.6511427242	7512.1149898666	9570.7645437546	7549.4319470132	11412.9419602415	7616.7556988048	9012.5110182474	8941.8242157995	8549.2561652693	10655.8103836879	12109.4659465791	8997.5167991085	14245.6153351117	13734.6457639862	8485.7641385064	9722.5645931947	10499.1818964591	12638.4387667511	5293.1710822605	7257.2625468657	6481.964028143	8668.6024105515	7966.2508281966	9044.100580096	5288.162655912	10154.8211092681
12368.8756411793	7956.4643365271	13376.8110545612	8234.8560341692	9595.4433719753	8545.916008133	11429.4970781635	7177.5083260451	9841.0581679072	9182.4570752332	9266.4504490854	10418.0332986334	12603.6324735969	9956.8351278781	14088.024878749	14708.984905274	11887.4861896369	10383.7664492826	11012.9045822363	13395.0707776765	5273.1494675769	4647.6001288205	4470.4969476161	9283.4529050712	8294.1196220395	9141.2334367491	5489.5942955972	10479.2343331725
12224.7850764384	6640.4495953573	12469.0486476708	7280.1882306939	8681.0953883511	6803.8909048791	11979.1782623568	7961.5091647063	10417.1743156398	9113.3949209493	7851.3232118128	12001.5764866131	13374.2306185032	8162.5151942987	15740.4423657398	12960.7412936443	10535.7768221286	8358.2590269532	9876.8768553619	11238.2080368786	5912.4153191082	8562.7865243043	8272.7417268916	9389.521849396	8078.7027945746	9705.7402129971	4881.0784365205	10231.6461763869
12224.7850764384	6640.4495953573	12469.0486476708	7177.0657401517	8626.3121118366	6649.8472130418	11855.1366548147	7238.8300749499	9345.7841288027	8217.4189134107	6827.1848960776	11241.4700588078	13204.8029125495	8162.5151942987	15740.4423657398	12960.7412936443	10535.7768221286	8358.2590269532	9876.8768553619	11238.2080368786	5019.3140351424	8105.2155846374	7191.8136559143	8094.7212723114	6660.460132346	8522.4832884581	3596.5389926751	9688.3647303029
12221.9024130248	6972.8176451379	12745.3025823766	7155.8465257936	9114.7671406735	6959.4587485596	10636.5960562581	7342.0166003942	8390.7136662633	8538.9949179296	8129.9945966711	10013.3446351207	11462.2744148465	8346.375819209	13035.6491450549	12691.3214447571	7451.4104406776	9461.5949067494	10275.3447764522	12360.3699469561	4792.0807285707	6756.5121468995	5837.8049030294	8131.4059449599	7383.2305829559	8571.5830879899	4925.4752026472	9816.9894689705
11925.0768350478	5145.1182203786	13189.6997990667	6279.8385621426	7566.7177555456	3166.0897826504	10060.3507558617	6145.5508861977	7068.0826743151	7005.5325936065	5325.8527857058	8410.871675613	9309.108378117	7219.9094062168	16772.5120376897	11536.424164437	9839.6004267991	9126.8811804075	10184.1257823086	12163.8498744364	3147.4586365458	5999.9207126473	4390.7194890769	6404.3095774625	5142.0581185634	7267.571576007	2730.2871907116	7935.3773891365
11918.3773369361	6567.0082947484	11197.466845822	6989.3162159977	8584.1715641853	6960.213646227	11412.7080941089	6441.9889147067	8939.3803262947	8003.0644546951	6971.1332986172	8244.1071199551	8619.6992469997	6188.8690271509	9490.4843593295	9678.7008385645	6330.9394459165	7856.8873830849	8442.3560179094	9277.0316644746	5602.9250142366	7176.2914600894	7693.7998269583	8127.5942625293	7322.8917205405	8624.655946046	4228.0095405446	8063.7145125168
11684.5250897607	6491.4195326775	10299.5108698603	6649.0162270455	8462.329608667	7220.8274725005	11052.6999978412	5850.8037796376	8464.397112725	7759.2675115347	7017.9406588097	7003.944651947	7044.8942868815	5252.6750600793	7337.8454969655	8209.1992405259	5134.493168315	7386.6441721277	7480.2157801772	8120.4572129462	6486.0174544712	6650.8047342511	8057.8942051333	8079.5956075047	8056.214239448	8544.8079395831	5069.3467743174	7306.492187554
11588.4154880083	7750.2645511574	10882.2688825557	7154.1198870254	9070.9525004526	8518.4507106675	11438.1515051582	5426.1860126898	6266.9956840265	6695.0238208934	7565.3639800211	6067.257859956	6121.5192563466	9014.8015818402	11471.9855566423	13185.5961921116	9188.0976434849	8061.5421998989	8455.083978594	9519.4740940094	5798.5701927766	5075.1442903586	6678.5224528898	6945.3646660977	7744.3422415863	7243.7047603681	5319.7508741082	6497.1153557357
11545.0508924923	7221.5855007115	11436.8671705947	7467.9857476155	10413.4758000656	6552.054582003	10982.5714269973	7586.649027397	9456.5311264533	8695.3026093005	5400.7503207221	9682.343545676	11663.0974346385	7804.6105437458	10262.1282941195	11129.4325824789	7389.4591405274	8597.6400571893	8784.9700163289	10180.1218835632	4978.5165647429	6400.7798624474	7566.8131450438	8288.9436679646	8152.8250396231	9777.6167413874009	2988.9776981553	9772.2181447514
