feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	sex	Male	sexMale	-0.3954381074796567	0.04578625111111673	0.6668000235404516	0.5196031277774462	0.7531229414220365	0.7692188451587874	0.9298895931919426	NA	linear	28	17
PWY-6612: superpathway of tetrahydrofolate biosynthesis	sex	Male	sexMale	-0.3995570292002054	0.04578625111111673	0.676165460842929	0.5217988106899742	0.7550532459321813	0.7713236225424769	0.9306187185023362	NA	linear	28	17
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	sex	Male	sexMale	0.14341451566111993	0.04578625111111673	0.14283219041230194	0.5273345744066793	0.761802343853616	0.5273345744066793	0.7668227654035992	NA	linear	28	28
LIPASYN-PWY: phospholipases	donor_microbiome_type	WildR	donor_microbiome_typeWildR	1.0219743152061045	-0.0790482208289689	1.2452579168754219	0.54022542422287545	0.7689588714289063	0.5682570493746062	0.804634504776818	NA	linear	28	4
NONMEVIPP-PWY: methylerythritol phosphate pathway I	sex	Male	sexMale	0.10005716770507851	0.04578625111111673	0.06746358498610858	0.5371549194115206	0.7689588714289063	0.5371549194115206	0.7794012556167161	NA	linear	28	28
PENTOSE-P-PWY: pentose phosphate pathway	sex	Male	sexMale	0.12747786625405344	0.04578625111111673	0.12436168664808848	0.5514243204542331	0.78093294460256	0.5514243204542331	0.7974689842921568	NA	linear	28	28
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	sex	Male	sexMale	-0.08135395694833211	0.04578625111111673	0.2050951294988446	0.5531992053197845	0.78093294460256	0.5531992053197845	0.7974689842921568	NA	linear	28	28
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	sex	Male	sexMale	0.20209702160505091	0.04578625111111673	0.25443085862401366	0.5526361539923077	0.78093294460256	0.5526361539923077	0.7974689842921568	NA	linear	28	28
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	sex	Male	sexMale	0.003576233202624263	0.04578625111111673	0.04521015905829155	0.5549511931392992	0.7810424199738285	0.5549511931392992	0.7982667270643051	NA	linear	28	28
PWY-5505: L-glutamate and L-glutamine biosynthesis	sex	Male	sexMale	-0.07351770369197208	0.04578625111111673	0.19350411194571118	0.5565588604431753	0.7820457299474842	0.5565588604431753	0.7985856886386108	NA	linear	28	28
